Unnamed: 0,district,municipality,parish,neighborhood,neighborhood_link
0,,aveiro,gloria e vera cruz,zona historica beira mar,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/zona-historica-beira-mar/
1,,aveiro,gloria e vera cruz,estacao avenida,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/estacao-avenida/
2,,aveiro,gloria e vera cruz,bairro do liceu 5 bicas,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/bairro-do-liceu-5-bicas/
3,,aveiro,gloria e vera cruz,forca,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/forca/
4,,aveiro,gloria e vera cruz,sa barrocas,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/sa-barrocas/
5,,aveiro,gloria e vera cruz,universidade mario sacramento santiago,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/universidade-mario-sacramento-santiago/
6,,aveiro,gloria e vera cruz,baixa de santo antonio alboi,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/baixa-de-santo-antonio-alboi/
7,,aveiro,gloria e vera cruz,vilar,https://www.idealista.pt/arrendar-casas/gloria-e-vera-cruz/vilar/
8,,ovar,ovar sao joao arada sao vicente de pereira jusa,furadouro,https://www.idealista.pt/arrendar-casas/ovar-sao-joao-arada-sao-vicente-de-pereira-jusa/furadouro/
9,,ovar,ovar sao joao arada sao vicente de pereira jusa,centro de ovar,https://www.idealista.pt/arrendar-casas/ovar-sao-joao-arada-sao-vicente-de-pereira-jusa/centro-de-ovar/
10,,oliveira de azemeis,oliveira de azemeis santiago da riba ul ul macinhata da seixa madail,centro de oliveira de azemeis,https://www.idealista.pt/arrendar-casas/oliveira-de-azemeis-santiago-da-riba-ul-ul-macinhata-da-seixa-madail/centro-de-oliveira-de-azemeis/
11,,oliveira de azemeis,oliveira de azemeis santiago da riba ul ul macinhata da seixa madail,santiago da riba ul,https://www.idealista.pt/arrendar-casas/oliveira-de-azemeis-santiago-da-riba-ul-ul-macinhata-da-seixa-madail/santiago-da-riba-ul/
12,,esposende,apulia e fao,praia de ofir,https://www.idealista.pt/arrendar-casas/apulia-e-fao/praia-de-ofir/
13,,esposende,apulia e fao,fao,https://www.idealista.pt/arrendar-casas/apulia-e-fao/fao/
14,,esposende,apulia e fao,apulia,https://www.idealista.pt/arrendar-casas/apulia-e-fao/apulia/
