,title,link,description,garage,price,home_type,city,date,source_link,home_size,home_area,floor,elevator,price_per_sqr_meter,neighborhood,price_per_sqr_meter_bin,price_bin,home_area_bin,street_names
0,apartamento t0 em sao joao da caparica costa de caparica,https://www.idealista.pt/imovel/33182313/,"Apartamento T0, com vista de Mar.
Não perca a oportunidade de viver num apartamento que lhe oferece uma qualidade de vida única.
Situado em São João de Caparica, uma das mais nobres e prestigiadas áreas da Costa de Caparica, zona calma e tranquila, rodeada de uma extensa zona verde e a apenas 5m a pé das fabulosas pr",True,1250,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t0,60,10,True,20.833334,costa de caparica,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",sao joao da caparica costa de caparica
1,apartamento t0 em sao joao da caparica costa de caparica,https://www.idealista.pt/imovel/33225472/,"Não perca a oportunidade de viver num apartamento que lhe oferece uma qualidade de vida única.
Situado em São João de Caparica, uma das mais nobres e prestigiadas áreas da Costa de Caparica, zona calma e tranquila, rodeada de uma extensa zona verde e a apenas 5m a pé das fabulosas praias de São João de Caparica.
Inse",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t0,57,6,True,21.052631,costa de caparica,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",sao joao da caparica costa de caparica
2,apartamento t0 na avenida da liberdade 5 caparica e trafaria almada,https://www.idealista.pt/imovel/33132721/,"Excelente apartamento t1 na Trafaria, a 2 minutos do barco para Belém, Lisboa.
Este apartamento é adequado para duas pessoas, tem uma varanda com imensa exposição solar e uma vista privilegiada sobre o rio Tejo
Condições
- contrato de 1 ano
- fiador
- 1 depósito de segurança
A Trafaria é uma bonita vila piscatória",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-4,t0,50,1,False,24.0,almada,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",avenida da liberdade 5 caparica
3,apartamento t0 na rua eleuterio teixeira 8 caparica e trafaria almada,https://www.idealista.pt/imovel/33394837/,"Estúdio com muita luz, casa de banho com duche, chão de madeira, cozinha equipada, gradeamento automático.
500metros da paragem do comboio do pragal, 100metros do metro de superfície de almada, supermercados perto de serviços e do hospital garcia de Horta.",True,1000,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-5,t0,50,0,False,20.0,almada,"(16.67, 20.64]","(355.38, 1364.8]","(42.28, 70.56]",almada
4,apartamento t1 em almada,https://www.idealista.pt/imovel/30954625/,"Disponível a partir de 01 de Junho de 2024.
Excelente T1 na R. Ramiro Ferrão, em frente à Escola Secundária Anselmo de Andrade. Último piso com muita luz natural, em zona muito agradável e central, com comércio e transportes (incluindo metro).
Perto dos acessos à ponte 25 de abril, IC20 e A2.
Apartamento mobilado e c",True,925,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,65,8,True,14.230769,em almada,"(12.701, 16.67]","(355.38, 1364.8]","(42.28, 70.56]",almada
5,apartamento t1 na rua vale da rosa 44 botequim  regateira  palhais charneca da caparica e sobreda,https://www.idealista.pt/imovel/33346707/,"Quem procura paz, sossego, zonas verdes e vista mar, este apartamento é para si.
Fica a 10 minutos de Almada Forum e a 20 minutos de Lisboa.
Luminoso apartamento T1 com vista mar, atualmente transformado em uma grande sala com varanda e mais um quarto com varanda. Apartamento está equipado com Ar Condicionado na sala",True,1100,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,80,3,False,13.75,charneca da caparica e sobreda,"(12.701, 16.67]","(355.38, 1364.8]","(70.56, 98.84]",rua vale da rosa 44 botequim
6,apartamento t1 em santo antonio costa de caparica,https://www.idealista.pt/imovel/33109292/,"Apartamento T1+1 em condomínio com terraço, piscina, sauna e ginásio, perto das praias da Costa de Caparica.
Apartamento constituído por sala, cozinha equipada, com copa/segundo quarto, quarto com varanda e casa de banho. Dispõem, ainda de dois roupeiros embutidos.
Inserido em condomínio com piscina, sauna, ginásio e",True,1550,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,69,1,True,22.463768,costa de caparica,"(20.64, 24.61]","(1364.8, 2349.6]","(42.28, 70.56]",santo antonio costa de caparica
7,apartamento t1  praca da liberdade centro costa de caparica,https://www.idealista.pt/imovel/33360241/,"Arrendamento por temporada
- De maio a setembro: 1.500€ por mês
- De outubro a abril: 1.300€ por mês
- Contrato de longa estadia: . 1300€ por mês
Viva o sonho à beira-mar: Casa encantadora na Praia da Costa da Caparica!
Bem-vindo ao seu refúgio à beira-mar na bela Costa da Caparica, Almada! Situada a apenas 500 met",True,1500,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,45,1,True,33.333332,costa de caparica,"(32.549, 36.518]","(1364.8, 2349.6]","(42.28, 70.56]",costa de caparica
8,apartamento t1 em santo antonio costa de caparica,https://www.idealista.pt/imovel/33353117/,"Apartamento T1 em Santo António da Caparica, inserido num terceiro andar de prédio sem elevador.
Constituído por uma sala com cozinha incorporada, equipada com fogão, esquentador, microondas, frigorifico, máquina de lavar roupa, máquina de lavar louça, casa de banho com banheira e quarto com roupeiro.
Pode usufruir a",True,1000,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,54,3,False,18.518518,costa de caparica,"(16.67, 20.64]","(355.38, 1364.8]","(42.28, 70.56]",santo antonio costa de caparica
9,apartamento t1 em caparica e trafaria almada,https://www.idealista.pt/imovel/33305257/,"DISPONÍVEL A 1 DE JUNHO DE 2024
Apartamento T1 em excelentes condições, apresentando-se muito arejado e luminoso, tornando-o muito alegre e sofisticado, inserido em prédio com elevador e em excelente estado de conservação.
Constituído por áreas bastante generosas, 74,8m2, divididos em hall de entrada, sala com lareir",True,980,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/,t1,74,0,False,13.243243,almada,"(12.701, 16.67]","(355.38, 1364.8]","(70.56, 98.84]",almada
10,apartamento t1 na rua manuel luis costa centro costa de caparica,https://www.idealista.pt/imovel/33390675/,"*CONTACTO TELEFÓNICO APENAS DISPONÍVEL AOS DIAS ÚTEIS (SEG A SEX) ENTRE AS 10H - 18H*
*PHONE CONTACT ONLY AVAILABLE ON WORKING DAYS (MON-FRI) BETWEEN 10 AM - 6 PM
Este acolhedor apartamento T1 na Costa da Caparica, apenas a alguns passos da Nova Praia, oferece uma estadia confortável e acolhedora. Destacamos ainda a",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,50,2,True,24.0,costa de caparica,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",rua manuel luis costa centro costa de caparica
11,apartamento t1 em caparica e trafaria almada,https://www.idealista.pt/imovel/33218333/,"Charmoso e acolhedor apartamento 'T1', situado na principal via de Santo António de Caparica, inserido em prédio em excelente estado de conservação, servido por dois elevadores, e um terraço comum, destinado a ser uma relaxante área de lazer acompanhada de uma vista de cortar a respiração.
O apartamento encontra-se re",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,53,5,True,22.64151,almada,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",almada
12,apartamento t1 em almada,https://www.idealista.pt/imovel/33394381/,"Apartamento de tipologia T1 em prédio totalmente remodelado há 5 anos, imóvel com ventilação cruzada fica situado no piso 0, zona de envolvência maioritariamente habitacional, próximo de umas das artérias principias de Almada com comercio local e restauração e supermercados de média dimensão, todo o apartamento está or",True,918,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,55,0,False,16.690908,em almada,"(16.67, 20.64]","(355.38, 1364.8]","(42.28, 70.56]",almada
13,apartamento t1 no largo soeiro pereira gomes cova da piedade almada  cova da piedade  pragal  cacilhas,https://www.idealista.pt/imovel/33371542/,"Apartamento T1 para arrendamento mobilado e equipado, com elevador
Bem-vindo a este acolhedor apartamento T1 mobilado e equipado.
Situado num bairro tranquilo e familiar, e a 5 min de transportes (metro superfície e autocarros), este T1 oferece a oportunidade de disfrutar da vida sem complicações.
Apartamento mobila",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,54,1,True,22.222221,almada cova da piedade pragal cacilhas,"(20.64, 24.61]","(355.38, 1364.8]","(42.28, 70.56]",cova da piedade pragal cacilhas
14,apartamento t1  praca padre manuel bernardes centro costa de caparica,https://www.idealista.pt/imovel/33105509/,"Apartamento T1 para arrendamento na Costa da Caparica, a 100 metros da praia!
Imóvel inserido em prédio com porteiro, numa zona privilegiada da cidade da Costa da Caparica, junto a comércio, serviços e transportes.
O apartamento fica mobilado e é composto por quarto com roupeiro embutido, wc, cozinha renovada e equi",True,1500,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,54,3,True,27.777779,costa de caparica,"(24.61, 28.579]","(1364.8, 2349.6]","(42.28, 70.56]",costa de caparica
15,apartamento t1 na avenida general humberto delgado s n centro costa de caparica,https://www.idealista.pt/imovel/33355775/,"T1 para Arrendar na 1ª Linha do Mar na Costa de Caparica numa Localização Privilegiada, inserido num 4ª andar de um Condomínio organizado com 2 Elevadores
IMPORTANTE: Estão a ser concluídas as remodelações da Casa de Banho e Cozinha, serão entregues no estado ""novo"" ainda no mês de maio.
Proximidades de Comércios, Ce",True,1200,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-2,t1,46,0,False,26.086956,costa de caparica,"(24.61, 28.579]","(355.38, 1364.8]","(42.28, 70.56]",costa de caparica
16,apartamento t1 em sao joao da caparica costa de caparica,https://www.idealista.pt/imovel/33104724/,"Excelente T1, com boas áreas, constituído por hall, WC completo com banheira, cozinha americana, quarto com roupeiro embutido e sala com varanda.
Tem um lugar de estacionamento e acesso à piscina do condomínio.",True,1112,apartamento,almada,2024-05-15,https://www.idealista.pt/arrendar-casas/almada/pagina-3,t1,62,0,False,17.935484,costa de caparica,"(16.67, 20.64]","(355.38, 1364.8]","(42.28, 70.56]",costa de caparica
